timestamp_ns,system_time_ms,session_id,day_id,label,context,calibrated,baseline_ax,baseline_ay,baseline_az,ax,ay,az,gx,gy,gz,screen_rotation,note
3973108487292659,1778892532463,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,0.27876383,9.171689,5.308477,0.032223117,-0.15286891,-0.0707076,0,
3973108506128076,1778892532482,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,0.1591227,9.205189,5.436493,0.101250835,-0.046273008,-0.060322896,0,
3973108524963388,1778892532501,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,0.43429732,9.366704,5.0069814,0.21853687,0.1461494,-0.035582874,0,
3973108543798701,1778892532519,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,0.40079778,9.284152,4.4231324,0.26923865,0.19715661,-0.08414663,0,
3973108562634118,1778892532538,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,0.23808585,9.281759,4.2257247,0.21548255,0.21853687,-0.15867212,0,
3973108581469430,1778892532557,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,-0.27756742,9.176475,4.3728833,0.1311832,0.13973531,-0.21792601,0,
3973108600304743,1778892532576,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,-0.587438,8.8701935,4.53081,0.08567379,0.031001387,-0.2008218,0,
3973108619140159,1778892532595,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,-0.36610186,8.608179,4.3525443,0.08384119,0.04657844,-0.13332124,0,
3973108637975472,1778892532614,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,-0.33140594,8.467003,4.052245,0.08414663,0.06520981,-0.1036943,0,
3973108656810784,1778892532633,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,-0.5192425,8.338987,3.6478581,0.066126116,-0.039553493,-0.07620538,0,
3973108675646201,1778892532651,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,-0.23449662,8.202596,3.7100716,-0.011759147,-0.09300416,1.527162E-4,0,
3973108694481513,1778892532670,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,0.11365908,8.087741,4.125226,-0.08353576,0.07773254,0.060017463,0,
3973108713316826,1778892532689,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,0.15672988,7.9154572,4.3525443,-0.06856957,0.2243401,0.062155493,0,
3973108732152243,1778892532708,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,0.42592242,7.795816,4.65404,0.006872229,0.3349066,0.08811724,0,
3973108750987555,1778892532728,a9115986,20260516,Upright,Commuting-like,1,-0.19435526,9.098855,4.019124,0.7956135,8.148758,4.476971,0.0368046,0.504727,0.15622866,0,
