timestamp_ns,system_time_ms,session_id,day_id,label,context,calibrated,baseline_ax,baseline_ay,baseline_az,ax,ay,az,gx,gy,gz,screen_rotation,note
3846952770463819,1778766376747,e5d80dbc,20260514,Upright,Standing,1,0.47483978,9.231331,3.6363804,2.3449662,6.6819572,5.150551,-0.23243405,-1.0033454,-0.3272708,0,
3846952789296215,1778766376765,e5d80dbc,20260514,Upright,Standing,1,0.47483978,9.231331,3.6363804,1.9860427,6.2285175,4.551149,-0.028710645,-0.9590577,-0.41004297,0,
3846952808128611,1778766376784,e5d80dbc,20260514,Upright,Standing,1,0.47483978,9.231331,3.6363804,1.3555341,6.1471615,3.473182,0.08307761,-0.980438,-0.48029244,0,
3846952826961007,1778766376804,e5d80dbc,20260514,Upright,Standing,1,0.47483978,9.231331,3.6363804,0.7609176,6.48096,2.4275186,0.097432934,-1.0348049,-0.49312058,0,
3846952845793402,1778766376823,e5d80dbc,20260514,Upright,Standing,1,0.47483978,9.231331,3.6363804,0.36729828,6.991828,1.6031911,-0.005497783,-1.0610721,-0.4949532,0,
3846952864625902,1778766376841,e5d80dbc,20260514,Upright,Standing,1,0.47483978,9.231331,3.6363804,-0.36131623,7.5110703,1.2610176,-0.20097451,-1.0118976,-0.48059785,0,
3846952883458298,1778766376859,e5d80dbc,20260514,Upright,Standing,1,0.47483978,9.231331,3.6363804,-1.3399807,8.002795,1.4644074,-0.41325003,-1.010065,-0.37033677,0,
3846952902290694,1778766376878,e5d80dbc,20260514,Upright,Standing,1,0.47483978,9.231331,3.6363804,-1.8424734,8.299505,2.2755744,-0.54275334,-1.0033454,-0.10308343,0,
3846952921123090,1778766376897,e5d80dbc,20260514,Upright,Standing,1,0.47483978,9.231331,3.6363804,-1.463211,9.077172,2.8570302,-0.55955213,-1.0241148,0.21242823,0,
3846952939955486,1778766376916,e5d80dbc,20260514,Upright,Standing,1,0.47483978,9.231331,3.6363804,-0.19740787,9.540184,2.961118,-0.57818353,-1.0372484,0.41706792,0,
3846952958787882,1778766376935,e5d80dbc,20260514,Upright,Standing,1,0.47483978,9.231331,3.6363804,1.134198,9.696914,3.0640094,-0.6881392,-0.97188586,0.42959064,0,
3846952977620382,1778766376954,e5d80dbc,20260514,Upright,Standing,1,0.47483978,9.231331,3.6363804,2.0267208,9.523434,3.9314077,-0.6881392,-0.97188586,0.42959064,0,
