timestamp_ns,system_time_ms,session_id,day_id,label,context,calibrated,baseline_ax,baseline_ay,baseline_az,ax,ay,az,gx,gy,gz,screen_rotation,note
3903767476495702,1778823191457,20cd6367,20260515,Upright,Commuting-like,1,-0.1045222,8.686827,4.8387117,-1.2861422,9.0436735,3.5676985,-0.9242384,-0.23273948,0.27015495,0,
3903767495329140,1778823191476,20cd6367,20260515,Upright,Commuting-like,1,-0.1045222,8.686827,4.8387117,-1.247857,9.05803,4.3764725,-0.9242384,-0.23273948,0.27015495,0,
3903767514162681,1778823191495,20cd6367,20260515,Upright,Commuting-like,1,-0.1045222,8.686827,4.8387117,-0.94396853,8.846265,4.4039903,-0.9495893,-0.43707374,0.31230462,0,
3903767532996171,1778823191513,20cd6367,20260515,Upright,Commuting-like,1,-0.1045222,8.686827,4.8387117,-0.36610186,8.793623,4.648058,-0.82497287,-0.35705048,0.36636615,0,
3903767551829661,1778823191532,20cd6367,20260515,Upright,Commuting-like,1,-0.1045222,8.686827,4.8387117,-0.22851457,8.360522,5.2606206,-0.52778715,-0.45692685,0.3349066,0,
3903767570663150,1778823191551,20cd6367,20260515,Upright,Commuting-like,1,-0.1045222,8.686827,4.8387117,0.11006984,8.2660055,5.2953167,-0.3500255,-0.7110466,0.2591594,0,
3903767589496588,1778823191570,20cd6367,20260515,Upright,Commuting-like,1,-0.1045222,8.686827,4.8387117,0.4438686,8.092526,5.4089756,-0.3500255,-0.7110466,0.2591594,0,
3903767608330129,1778823191589,20cd6367,20260515,Upright,Commuting-like,1,-0.1045222,8.686827,4.8387117,0.695115,8.285149,5.5477595,-0.20616686,-0.66706437,0.15775582,0,
3903767627163567,1778823191608,20cd6367,20260515,Upright,Commuting-like,1,-0.1045222,8.686827,4.8387117,0.22013968,8.382058,5.2941203,0.0070249448,-0.45906487,0.027336199,0,
3903767645997109,1778823191627,20cd6367,20260515,Upright,Commuting-like,1,-0.1045222,8.686827,4.8387117,0.22013968,8.455039,4.8047876,0.4386009,-0.41172287,-0.12110394,0,
3903767664830546,1778823191646,20cd6367,20260515,Upright,Commuting-like,1,-0.1045222,8.686827,4.8387117,0.22731815,8.4909315,4.267599,0.5070178,-0.52839804,-0.1962403,0,
3903767683664088,1778823191665,20cd6367,20260515,Upright,Commuting-like,1,-0.1045222,8.686827,4.8387117,0.10887343,8.548359,3.6275191,0.5070178,-0.52839804,-0.1962403,0,
3903767702497525,1778823191683,20cd6367,20260515,Upright,Commuting-like,1,-0.1045222,8.686827,4.8387117,-0.44506502,8.683554,3.4313076,0.4761691,-0.5525272,-0.2591594,0,
3903767721331015,1778823191701,20cd6367,20260515,Upright,Commuting-like,1,-0.1045222,8.686827,4.8387117,-0.971486,8.733803,3.4325042,0.36438084,-0.54916745,-0.26374087,0,
