timestamp_ns,system_time_ms,session_id,day_id,label,context,calibrated,baseline_ax,baseline_ay,baseline_az,ax,ay,az,gx,gy,gz,screen_rotation,note
3978852115799550,1778898276093,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-0.6580262,9.031709,4.199404,-0.31826055,-0.534354,0.050854493,0,
3978852134630592,1778898276110,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-1.0001999,9.323633,4.034299,-0.31826055,-0.534354,0.050854493,0,
3978852153461738,1778898276129,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-0.76689965,9.647861,3.0747771,-0.22754712,-0.6727148,0.107054055,0,
3978852172292779,1778898276148,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-0.89013004,9.467203,2.487339,-0.18936808,-0.69562227,0.20418155,0,
3978852191123925,1778898276167,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-0.7968099,9.827323,3.2506495,-0.39553493,-1.2142465,0.44425142,0,
3978852209954967,1778898276186,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-0.06699903,9.65145,3.4097722,-0.39553493,-1.2142465,0.44425142,0,
3978852228786113,1778898276205,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.78723866,9.177671,2.8606195,-0.3866774,-0.66080296,0.5193878,0,
3978852247617154,1778898276223,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,1.2765709,8.7577305,2.8594232,-0.44409868,-0.19868377,0.54473865,0,
3978852266448300,1778898276242,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,1.3100704,8.492127,3.438486,-0.5900954,0.10583232,0.49098256,0,
3978852285279342,1778898276261,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,1.6977077,8.16431,3.8727834,-0.74372786,0.21059564,0.3941605,0,
3978852304110488,1778898276280,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,2.3712873,7.9884386,4.005585,-0.7024945,0.40393433,0.27687445,0,
3978852322941529,1778898276299,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,2.1499512,8.292327,4.395615,-0.4667007,1.0425935,0.081397735,0,
3978852341772675,1778898276318,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.83030945,9.129815,4.261617,-0.26908594,1.195615,-0.1348484,0,
3978852360603717,1778898276336,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-0.37208393,9.15494,4.995017,-0.38789913,1.3089305,-0.18921536,0,
3978852379434863,1778898276356,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.37328035,8.801998,4.961518,-0.38789913,1.3089305,-0.18921536,0,
3978852398265904,1778898276374,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.715454,9.131011,5.328816,-0.37568185,1.0370957,-0.002290743,0,
3978852417097050,1778898276393,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.062213387,9.37149,5.099105,-0.22937973,0.7673989,0.052687086,0,
3978852435928092,1778898276413,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,1.2873386,10.039087,4.510471,-0.058337588,0.55970484,0.076816246,0,
3978852454759238,1778898276431,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,1.0217353,9.634701,3.8201413,-0.2809978,0.8318451,-0.24969098,0,
3978852473590279,1778898276451,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.2739782,9.889536,4.8083773,-0.2809978,0.8318451,-0.24969098,0,
3978852492421425,1778898276468,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-0.101694964,9.188439,5.3706903,-0.40775225,0.7270818,-0.31902415,0,
3978852511252467,1778898276488,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-0.7046863,8.896515,5.131408,-0.25778493,-0.2848157,-0.39354962,0,
3978852530083613,1778898276507,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-0.17347965,9.152547,6.4414787,-0.22357652,-0.97234404,-0.34498587,0,
3978852548914654,1778898276525,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-0.40558344,9.012567,7.342376,0.2083049,-1.620777,-0.36544985,0,
3978852567745800,1778898276545,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-1.4979069,8.626125,6.8422766,0.2083049,-1.620777,-0.36544985,0,
3978852586576842,1778898276563,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-2.0015962,8.32463,4.996214,0.59589857,-1.7759366,-0.3336849,0,
3978852605407988,1778898276582,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-1.2263216,8.566305,4.508078,0.763581,-1.2606722,-0.09666935,0,
3978852624239029,1778898276600,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-0.64247286,9.030513,5.267799,0.6539307,-0.6003274,0.14981459,0,
3978852643070175,1778898276619,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.20578274,9.519845,4.9136615,0.5421425,-0.007177661,0.19929464,0,
3978852661901217,1778898276638,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.506082,8.792427,4.705486,0.56443906,-0.23167047,0.12079851,0,
3978852680732363,1778898276657,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.14237295,8.467003,5.892326,0.422413,-0.10613775,-0.0044287695,0,
3978852699563508,1778898276675,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.106480606,8.657232,5.791827,0.39614582,0.08964441,-0.007788526,0,
3978852718394550,1778898276696,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.3481557,8.975478,4.3669014,0.6374374,-0.34070984,-0.03252855,0,
3978852737225696,1778898276714,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.29790643,8.508878,3.3906298,0.6985239,-0.44730574,-0.07803798,0,
3978852756056738,1778898276734,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.30388847,8.409575,3.6406796,0.47555822,0.037415467,-0.06459895,0,
3978852774887883,1778898276753,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.07298109,8.376076,3.406183,0.2932151,0.41798422,-0.020311253,0,
3978852793781008,1778898276776,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.40438703,7.8424764,3.3643086,0.21899502,0.09025527,0.0010690134,0,
3978852812550071,1778898276790,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,-0.16031912,8.222935,4.074977,0.07788526,-0.04444041,0.031001387,0,
3978852831381217,1778898276808,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.39960137,8.489735,4.132405,0.1197295,0.40698865,0.21395539,0,
3978852850212258,1778898276827,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,1.0588241,8.505288,2.8307092,0.1197295,0.40698865,0.21395539,0,
3978852869043404,1778898276846,66276e74,20260516,Upright,Sitting,1,0.28196084,9.163267,3.8148413,0.98943216,8.220542,2.4945176,0.2272417,0.1018617,0.1262963,0,
