timestamp_ns,system_time_ms,session_id,day_id,label,context,calibrated,baseline_ax,baseline_ay,baseline_az,ax,ay,az,gx,gy,gz,screen_rotation,note
3719520216912112,1778638943647,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-0.95473623,8.392825,4.9567323,-0.26190826,-0.23151775,0.1348484,0,
3719520235744300,1778638943666,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-0.7585248,8.402397,5.568098,-0.38224864,-0.17470732,0.123852834,0,
3719520254576487,1778638943686,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-1.0073783,8.373683,6.2919273,-0.40210176,-0.17012584,0.073761925,0,
3719520273408675,1778638943705,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-0.8039884,8.444271,6.533602,-0.2952004,-0.31948227,0.0716239,0,
3719520292240967,1778638943723,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-0.3505485,8.459825,6.6125655,-0.13026692,-0.47036588,0.052381653,0,
3719520311073154,1778638943741,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-0.92602235,8.384451,6.0155563,0.040775225,-0.4807506,-0.042302385,0,
3719520329905342,1778638943760,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-1.6007984,8.208578,5.2486563,0.10674862,-0.47830713,-0.042302385,0,
3719520348737529,1778638943779,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-1.3770695,8.346166,4.784449,0.048411034,-0.47311476,0.08689552,0,
3719520367569717,1778638943799,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-0.7968099,8.246863,5.241478,-0.108886644,-0.45875946,0.18585561,0,
3719520386401904,1778638943818,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-0.42951167,8.10808,6.1160545,-0.21517712,-0.30298892,0.19593488,0,
3719520405234196,1778638943835,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-0.6855437,8.148758,6.407979,-0.15806127,-0.14385866,0.15592323,0,
3719520424066383,1778638943855,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-1.1234303,8.372486,5.6183476,-0.014202606,-0.14599667,0.1348484,0,
3719520442898571,1778638943874,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-0.71306115,8.480164,4.5595236,0.033139415,-0.43432486,0.18555018,0,
3719520461730758,1778638943892,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-0.08973085,8.0614195,5.6386867,-0.123547405,-0.5112938,0.23930627,0,
3719520480562946,1778638943911,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-0.38644084,7.925029,6.9726853,-0.13729186,-0.3112356,0.22586726,0,
3719520499395133,1778638943930,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-0.069391854,8.329415,6.9020967,0.12538,-0.32406378,0.24877468,0,
3719520518227321,1778638943949,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,0.7585248,8.443074,5.5046883,0.40118545,-0.4468476,0.23136504,0,
3719520537059612,1778638943968,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,0.75613195,8.373683,4.2771707,0.45585784,-0.52778715,0.06368265,0,
3719520555891800,1778638943986,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,0.047856454,8.27797,4.475775,0.2594648,-0.5094612,-0.12018765,0,
3719520574723987,1778638944005,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,-0.32422748,8.237292,6.0717874,0.049938194,-0.34452772,-0.15134175,0,
3719520593556175,1778638944026,a3dad422,20260513,Upright,Standing,1,0.1713326,8.834588,4.423551,0.039481573,8.379665,6.6460648,0.084757484,-0.16920954,-0.11346813,0,
