timestamp_ns,system_time_ms,session_id,day_id,label,context,calibrated,baseline_ax,baseline_ay,baseline_az,ax,ay,az,gx,gy,gz,screen_rotation,note
3663853349233930,1778583276780,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.21415763,9.32124,3.5042887,-0.12583815,-0.045967575,0.028710645,0,
3663853368069555,1778583276799,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.008374879,9.416953,2.9587252,0.0027488915,-0.037415467,0.0021380268,0,
3663853386905076,1778583276818,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,-0.18305093,9.473185,2.8295128,0.0070249448,0.018173227,-0.01527162,0,
3663853405740597,1778583276837,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,-0.24526432,9.445667,2.9994032,-0.15302163,0.01970039,0.020769402,0,
3663853424576117,1778583276855,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,-0.06819545,9.424132,3.3870404,-0.15302163,0.01970039,0.020769402,0,
3663853443411638,1778583276874,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.019142581,9.365508,3.991228,-0.20433427,0.004123337,0.040622506,0,
3663853462247159,1778583276893,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.0634098,9.377472,4.2364926,-0.18081598,-0.06582068,0.036651887,0,
3663853481082784,1778583276912,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.1052842,9.314062,3.67059,0.0632245,-0.09789108,0.029932374,0,
3663853499918305,1778583276930,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.05383851,9.29133,3.129812,0.04703659,-0.04382955,0.030237807,0,
3663853518753826,1778583276949,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,-0.06699903,9.37149,3.121437,0.04703659,-0.04382955,0.030237807,0,
3663853537589347,1778583276968,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,-0.12083755,9.41456,3.5808592,-0.03848448,0.005345067,0.038179047,0,
3663853556424867,1778583276988,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.04426722,9.253045,3.824927,-0.07788526,-0.004734202,0.04734202,0,
3663853575260388,1778583277007,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.0059820567,9.2590275,3.6287155,-0.03084867,-0.09025527,0.051618073,0,
3663853594095909,1778583277025,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,-0.047856454,9.387043,3.4995031,0.016187917,-0.1782198,0.04978548,0,
3663853612931534,1778583277044,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.06580263,9.434899,3.493521,0.030237807,-0.2102902,0.06291907,0,
3663853631767055,1778583277062,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.08733802,9.420543,3.5569308,0.03848448,-0.2536616,0.07910699,0,
3663853650602576,1778583277081,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.46061835,9.079565,3.3882368,0.03848448,-0.2536616,0.07910699,0,
3663853669438097,1778583277100,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.33260235,9.160921,3.103491,0.05589413,-0.25121814,0.03695732,0,
3663853688273617,1778583277120,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.19262223,9.382257,3.2063823,0.05589413,-0.25121814,0.03695732,0,
3663853707109138,1778583277140,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.10887343,9.486345,3.2446675,-0.019547673,-0.22525638,0.04612029,0,
3663853725944659,1778583277157,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.3361916,9.285348,3.1692936,-0.05742129,-0.1913534,0.06780599,0,
3663853744780180,1778583277176,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.60059845,9.148957,3.2147572,-0.076052666,-0.12293654,0.08124501,0,
3663853763615805,1778583277196,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.49292147,9.327223,3.4612179,-0.07422007,-0.11530073,0.05894845,0,
3663853782451326,1778583277214,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.13040884,9.461221,3.5856447,-0.0772744,-0.12599087,0.023518294,0,
3663853801286847,1778583277233,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.14356937,9.389436,3.3990045,-0.038789913,-0.031001387,0.011300999,0,
3663853820122367,1778583277252,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.37447673,9.266206,3.1573296,-0.024129158,-0.0129808765,0.035430156,0,
3663853838957888,1778583277271,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.39960137,9.253045,3.237489,-0.059253883,0.017867794,0.037262753,0,
3663853857793409,1778583277290,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.25244278,9.352347,3.7016966,-0.14080434,0.021838415,0.020769402,0,
3663853876629034,1778583277310,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.26799613,9.316455,4.045067,-0.19058982,0.011759147,0.023823727,0,
3663853895464555,1778583277330,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.37686956,9.269794,3.8201413,-0.10231985,0.01847866,0.02565632,0,
3663853914300076,1778583277346,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.4235296,9.306884,3.3643086,0.010384701,0.026419902,0.032986697,0,
3663853933135597,1778583277365,24aa9de9,20260512,Upright,Sitting,1,0.34643644,9.351194,3.3385212,0.27996024,9.306884,3.109473,-0.0140498895,-0.09544762,0.018631376,0,
