timestamp_ns,system_time_ms,session_id,day_id,label,context,calibrated,baseline_ax,baseline_ay,baseline_az,ax,ay,az,gx,gy,gz,screen_rotation,note
3915497769963703,1778834921745,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.17826529,8.849854,3.8991046,-0.60964304,0.09987639,0.03497201,0,
3915497788795787,1778834921765,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.74177504,8.831908,5.2307105,-0.54458594,0.22632541,0.077121675,0,
3915497807627870,1778834921783,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.9403793,8.953942,4.56072,-0.2376264,0.09773836,0.04382955,0,
3915497826459849,1778834921802,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.48095736,9.144172,3.3762727,-0.0070249448,-0.10720677,-0.03894263,0,
3915497845291932,1778834921821,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.21415763,9.162118,2.7290142,-0.0070249448,-0.20647229,-0.053603385,0,
3915497864123912,1778834921840,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.1471586,9.206385,2.5615165,-0.14110976,-0.10873393,0.0016798781,0,
3915497882955995,1778834921859,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.16630118,9.195618,2.9276185,-0.30879214,0.023518294,0.062460925,0,
3915497901788078,1778834921877,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.22851457,9.203992,3.6107693,-0.42913252,0.02687805,0.113162704,0,
3915497920620057,1778834921896,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.87338024,9.174082,4.490132,-0.45570514,-0.032070402,0.14920372,0,
3915497939452141,1778834921915,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.8805587,9.071191,4.6037908,-0.34666577,-0.12767074,0.085979216,0,
3915497958284224,1778834921934,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.38404804,9.029316,4.1694937,-0.22479823,-0.19303326,0.03924806,0,
3915497977116203,1778834921953,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,-0.25244278,9.1872425,3.583252,-0.19303326,-0.2196059,0.0923933,0,
3915497995948287,1778834921971,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,-0.4642076,9.27817,3.6131623,-0.27550003,-0.3121519,0.25824308,0,
3915498014780370,1778834921990,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.47976094,9.363115,4.5272202,-0.39003715,-0.40530878,0.43539387,0,
3915498033612349,1778834922010,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,2.14038,9.561719,4.9974103,-0.37232208,-0.4721985,0.4894554,0,
3915498052444432,1778834922028,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,2.524428,9.726824,4.898108,-0.26175556,-0.40958482,0.25518876,0,
3915498071276516,1778834922047,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,1.4057833,9.682557,5.2462635,-0.14538582,-0.19272783,-0.069485866,0,
3915498090108495,1778834922066,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.4953143,9.793823,4.7880383,0.041233372,-0.023212861,-0.1904371,0,
3915498108940578,1778834922085,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.45224348,9.763913,3.9577286,0.18112141,-0.27305657,-0.15378521,0,
3915498127772662,1778834922104,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.6891329,9.480363,3.35713,0.17592905,-0.6386591,-0.110108376,0,
3915498146604641,1778834922123,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.64008003,9.107083,3.1752756,0.057726722,-0.6224712,-0.082924895,0,
3915498165436724,1778834922142,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.74177504,9.092726,3.0352955,-0.089797124,-0.3604102,-0.024281874,0,
3915498184268807,1778834922161,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,1.012164,9.171689,3.1274192,-0.24373505,-0.27122396,-0.020005822,0,
3915498203100787,1778834922179,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,1.2251252,8.834301,3.6000016,-0.36254823,-0.40194902,-0.10308343,0,
3915498221932870,1778834922198,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.84825563,8.548359,4.6408796,-0.41416633,-0.3912589,-0.20662501,0,
3915498240764953,1778834922217,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.25004998,8.049456,5.186443,-0.32406378,-0.49724394,-0.2848157,0,
3915498259596932,1778834922238,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,-0.701097,7.5385876,4.564309,-0.08002329,-0.7385355,-0.23777911,0,
3915498278429016,1778834922255,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,-0.9451649,8.512466,3.487539,0.083688475,-0.79137534,-0.09453133,0,
3915498297261099,1778834922273,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.89730847,8.605786,2.8354948,0.018325943,-0.33047783,0.14920372,0,
3915498316093078,1778834922291,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,1.2227324,8.809176,3.196811,-0.22266021,0.19547673,0.07345649,0,
3915498334925162,1778834922310,92c7fb89,20260515,Upright,Commuting-like,1,1.1819372,8.734367,4.632525,0.16749759,8.904889,4.59063,-0.46761698,0.43799004,-0.1913534,0,
